scenario_id,opinion_leaf,opinion_domain,opinion_leaf_label,attack_present,attack_leaf,attack_leaf_label,baseline_score,post_score,delta_score,abs_delta_score,adversarial_effectivity,adversarial_direction,profile_id,exposure_intensity_hint,attack_realism_score,attack_coherence_score,attack_rewrite_required,attack_heuristic_pass,baseline_plausibility_score,baseline_consistency_score,baseline_rewrite_required,baseline_heuristic_pass,post_plausibility_score,post_consistency_score,post_rewrite_required,post_heuristic_pass,baseline_fallback_used,post_fallback_used,scenario_design,profile_panel_index,leaf_repeat_index_within_profile,profile_cont_chronological_age,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_heuristic_shift_sensitivity_proxy,profile_cont_resilience_index,profile_cat_sex
scenario_00001,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,Misleading_Narrative_Framing,321.0,250.0,-71.0,71.0,71.0,-1,profile_0005,0.62,0.8,0.9,False,True,0.7,0.8,False,True,0.7,0.6,False,False,False,False,profile_panel_factorial,1,1,18.0,10.416,45.558,13.556,11.367,34.287,27.747,23.822,54.066,38.432,44.179,44.353,56.89,53.447,48.561,49.461,64.997,48.187,78.196,53.727,64.27,59.806,68.737,54.816,48.476,46.223,63.241,62.96,57.409,38.0,17.323,15.188,19.966,19.383,10.268,20.021,0.5619,0.4381,Male
scenario_00002,Issue_Position_Taxonomy > Defense_and_National_Security > Civil_Defense_Preparedness_Support,Defense_and_National_Security,Civil_Defense_Preparedness_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,Misleading_Narrative_Framing,42.0,60.0,18.0,18.0,-18.0,-1,profile_0005,0.62,0.7,0.8,False,True,0.8,0.7,False,True,0.8,0.7,False,True,False,False,profile_panel_factorial,1,2,18.0,10.416,45.558,13.556,11.367,34.287,27.747,23.822,54.066,38.432,44.179,44.353,56.89,53.447,48.561,49.461,64.997,48.187,78.196,53.727,64.27,59.806,68.737,54.816,48.476,46.223,63.241,62.96,57.409,38.0,17.323,15.188,19.966,19.383,10.268,20.021,0.5619,0.4381,Male
scenario_00003,Issue_Position_Taxonomy > Defense_and_National_Security > Domestic_Security_Powers_Expansion_Support,Defense_and_National_Security,Domestic_Security_Powers_Expansion_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,Misleading_Narrative_Framing,150.0,180.0,30.0,30.0,-30.0,-1,profile_0005,0.62,0.8,0.9,False,True,0.7,0.6,True,False,0.8,0.9,False,True,False,False,profile_panel_factorial,1,3,18.0,10.416,45.558,13.556,11.367,34.287,27.747,23.822,54.066,38.432,44.179,44.353,56.89,53.447,48.561,49.461,64.997,48.187,78.196,53.727,64.27,59.806,68.737,54.816,48.476,46.223,63.241,62.96,57.409,38.0,17.323,15.188,19.966,19.383,10.268,20.021,0.5619,0.4381,Male
scenario_00004,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,Misleading_Narrative_Framing,42.0,58.0,16.0,16.0,16.0,1,profile_0005,0.62,0.7,0.8,False,True,0.8,0.7,False,True,0.8,0.7,False,True,False,False,profile_panel_factorial,1,4,18.0,10.416,45.558,13.556,11.367,34.287,27.747,23.822,54.066,38.432,44.179,44.353,56.89,53.447,48.561,49.461,64.997,48.187,78.196,53.727,64.27,59.806,68.737,54.816,48.476,46.223,63.241,62.96,57.409,38.0,17.323,15.188,19.966,19.383,10.268,20.021,0.5619,0.4381,Male
scenario_00005,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Manipulative_Persuasion > Fear_Appeal_Scapegoating_Post,Fear_Appeal_Scapegoating_Post,217.0,165.0,-52.0,52.0,52.0,-1,profile_0005,0.62,0.7,0.8,False,True,0.7,0.6,True,True,0.3,0.4,True,True,False,False,profile_panel_factorial,1,1,18.0,10.416,45.558,13.556,11.367,34.287,27.747,23.822,54.066,38.432,44.179,44.353,56.89,53.447,48.561,49.461,64.997,48.187,78.196,53.727,64.27,59.806,68.737,54.816,48.476,46.223,63.241,62.96,57.409,38.0,17.323,15.188,19.966,19.383,10.268,20.021,0.5619,0.4381,Male
scenario_00006,Issue_Position_Taxonomy > Defense_and_National_Security > Civil_Defense_Preparedness_Support,Defense_and_National_Security,Civil_Defense_Preparedness_Support,1,ATTACK_VECTORS > Manipulative_Persuasion > Fear_Appeal_Scapegoating_Post,Fear_Appeal_Scapegoating_Post,217.0,186.0,-31.0,31.0,31.0,-1,profile_0005,0.62,0.7,0.8,False,True,0.7,0.6,False,True,0.8,0.7,False,True,False,False,profile_panel_factorial,1,2,18.0,10.416,45.558,13.556,11.367,34.287,27.747,23.822,54.066,38.432,44.179,44.353,56.89,53.447,48.561,49.461,64.997,48.187,78.196,53.727,64.27,59.806,68.737,54.816,48.476,46.223,63.241,62.96,57.409,38.0,17.323,15.188,19.966,19.383,10.268,20.021,0.5619,0.4381,Male
scenario_00007,Issue_Position_Taxonomy > Defense_and_National_Security > Domestic_Security_Powers_Expansion_Support,Defense_and_National_Security,Domestic_Security_Powers_Expansion_Support,1,ATTACK_VECTORS > Manipulative_Persuasion > Fear_Appeal_Scapegoating_Post,Fear_Appeal_Scapegoating_Post,42.0,68.0,26.0,26.0,-26.0,-1,profile_0005,0.62,0.7,0.8,False,False,0.8,0.7,False,True,0.8,0.7,False,True,False,False,profile_panel_factorial,1,3,18.0,10.416,45.558,13.556,11.367,34.287,27.747,23.822,54.066,38.432,44.179,44.353,56.89,53.447,48.561,49.461,64.997,48.187,78.196,53.727,64.27,59.806,68.737,54.816,48.476,46.223,63.241,62.96,57.409,38.0,17.323,15.188,19.966,19.383,10.268,20.021,0.5619,0.4381,Male
scenario_00008,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Manipulative_Persuasion > Fear_Appeal_Scapegoating_Post,Fear_Appeal_Scapegoating_Post,123.0,205.0,82.0,82.0,82.0,1,profile_0005,0.62,0.8,0.9,False,False,0.0,0.0,True,True,0.3,0.4,True,True,False,False,profile_panel_factorial,1,4,18.0,10.416,45.558,13.556,11.367,34.287,27.747,23.822,54.066,38.432,44.179,44.353,56.89,53.447,48.561,49.461,64.997,48.187,78.196,53.727,64.27,59.806,68.737,54.816,48.476,46.223,63.241,62.96,57.409,38.0,17.323,15.188,19.966,19.383,10.268,20.021,0.5619,0.4381,Male
scenario_00009,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Coordinated_Amplification > Astroturf_Comment_Wave,Astroturf_Comment_Wave,217.0,250.0,33.0,33.0,-33.0,-1,profile_0005,0.62,0.7,0.8,False,True,0.7,0.8,False,True,0.8,0.7,False,False,False,False,profile_panel_factorial,1,1,18.0,10.416,45.558,13.556,11.367,34.287,27.747,23.822,54.066,38.432,44.179,44.353,56.89,53.447,48.561,49.461,64.997,48.187,78.196,53.727,64.27,59.806,68.737,54.816,48.476,46.223,63.241,62.96,57.409,38.0,17.323,15.188,19.966,19.383,10.268,20.021,0.5619,0.4381,Male
scenario_00010,Issue_Position_Taxonomy > Defense_and_National_Security > Civil_Defense_Preparedness_Support,Defense_and_National_Security,Civil_Defense_Preparedness_Support,1,ATTACK_VECTORS > Coordinated_Amplification > Astroturf_Comment_Wave,Astroturf_Comment_Wave,37.0,52.0,15.0,15.0,-15.0,-1,profile_0005,0.62,0.8,0.9,False,True,0.7,0.6,False,True,0.8,0.7,False,True,False,False,profile_panel_factorial,1,2,18.0,10.416,45.558,13.556,11.367,34.287,27.747,23.822,54.066,38.432,44.179,44.353,56.89,53.447,48.561,49.461,64.997,48.187,78.196,53.727,64.27,59.806,68.737,54.816,48.476,46.223,63.241,62.96,57.409,38.0,17.323,15.188,19.966,19.383,10.268,20.021,0.5619,0.4381,Male
