Type,Item,Status,Mitigation
Assumption,Pilot sample size is sufficient for stable moderation estimates.,ok,Treat estimates as exploratory and scale scenario count in later runs.
Assumption,Attack-only design is intentional and aligned with the moderation question.,ok,"Interpret results as moderation among attacked individuals, not as a no-attack counterfactual contrast."
Assumption,Opinion measurement has enough numeric resolution.,risk,"Prompt enforces high-resolution scores in [-1000,1000]."
Assumption,Attack text realism is adequate.,ok,Self-supervised realism reviewer + rewrite loop in Stage 03.
Assumption,SEM converges with acceptable fit.,ok,"Use robust OLS supplement, reduce heterogeneity, and increase scenario count before substantive interpretation."
Assumption,LLM outputs are reproducible and auditable.,ok,Persist all prompts/outputs in provenance/raw_llm.
Critique,Synthetic LLM agents may not represent human cognition or causal response behavior.,addressed,Added transparent assumption register and explicit exploratory caveat in reports.
Critique,Adversarial content may be unrealistic or too generic.,addressed,Added realism review agent with rewrite loop and heuristic checks.
Critique,Model dependence on a single LLM could bias outputs.,addressed,Model is CLI-configurable and run metadata captures exact model for replication.
Critique,Insufficient sample size inflates uncertainty and may destabilize SEM.,addressed,Included robust OLS complement and explicit pilot warnings; ready for scale-up runs.
Critique,Attack-only designs cannot estimate the incremental effect of exposure relative to a no-attack counterfactual.,addressed,The report states explicitly that the attacked-only design estimates heterogeneity of post-minus-baseline response among attacked individuals only.
