section,item,status,detail
Assumption register,Pilot sample size is sufficient for stable moderation estimates.,risk,Treat estimates as exploratory and scale scenario count in later runs.
Assumption register,Treatment-control balance is adequate.,ok,Use explicit stratified assignment in scenario generator.
Assumption register,Opinion measurement has enough numeric resolution.,ok,"Prompt enforces high-resolution scores in [-1000,1000]."
Assumption register,Attack text realism is adequate.,ok,Self-supervised realism reviewer + rewrite loop in Stage 03.
Assumption register,SEM converges with acceptable fit.,risk,"Use robust OLS supplement, reduce heterogeneity, and increase scenario count before substantive interpretation."
Assumption register,LLM outputs are reproducible and auditable.,ok,Persist all prompts/outputs in provenance/raw_llm.
Peer-review critique,Synthetic LLM agents may not represent human cognition or causal response behavior.,addressed,Added transparent assumption register and explicit exploratory caveat in reports.
Peer-review critique,Adversarial content may be unrealistic or too generic.,addressed,Added realism review agent with rewrite loop and heuristic checks.
Peer-review critique,Model dependence on a single LLM could bias outputs.,addressed,Model is CLI-configurable and run metadata captures exact model for replication.
Peer-review critique,Insufficient sample size inflates uncertainty and may destabilize SEM.,addressed,Included robust OLS complement and explicit pilot warnings; ready for scale-up runs.
Peer-review critique,Global SEM fit remains below conventional thresholds despite convergence.,addressed,"Blocked opinion-leaf design, baseline-adjusted post model, fixed effects, and robust OLS/bootstraps were added; further scale-up is still required."
