config_label,config_n_tasks,config_attack_leaf,config_attack_label,config_opinion_leaf,config_opinion_label,config_opinion_domain,adversarial_direction,task_reliability_weight,profile_id,sex,age_years,bf_agreeableness,bf_conscientiousness,bf_extraversion,bf_neuroticism,bf_openness,predicted_adversarial_effectivity,config_csi_pct,config_csi_raw,observed_baseline_score,observed_post_score,observed_delta_score,observed_abs_delta_score,observed_adversarial_effectivity
Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,Misleading_Narrative_Framing,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Defense_and_National_Security,-1,0.13864353420790035,profile_0036,Female,21.0,79.131,40.85,38.507,91.583,15.913,26.075247695022206,100.0,26.075247695022206,250.0,180.0,-70.0,70.0,70.0
Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,Misleading_Narrative_Framing,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Defense_and_National_Security,-1,0.13864353420790035,profile_0023,Female,26.0,63.692,44.982,12.887,46.799,81.041,25.621012572986466,99.0,25.621012572986466,350.0,280.0,-70.0,70.0,70.0
Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,Misleading_Narrative_Framing,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Defense_and_National_Security,-1,0.13864353420790035,profile_0416,Other,52.0,80.144,20.743,2.4,76.962,93.833,24.99453372199838,98.0,24.99453372199838,42.0,28.0,-14.0,14.0,14.0
Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,Misleading_Narrative_Framing,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Defense_and_National_Security,-1,0.13864353420790035,profile_0481,Female,44.0,13.733,29.94,9.378,61.637,29.653,23.310480708605706,97.0,23.310480708605706,450.0,380.0,-70.0,70.0,70.0
Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,Misleading_Narrative_Framing,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Defense_and_National_Security,-1,0.13864353420790035,profile_0230,Female,32.0,65.052,77.783,19.634,91.287,43.891,21.600415859874882,96.0,21.600415859874882,427.0,375.0,-52.0,52.0,52.0
Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,Misleading_Narrative_Framing,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Defense_and_National_Security,-1,0.13864353420790035,profile_0068,Female,61.0,82.396,16.856,10.686,62.992,72.306,21.199075274650955,95.0,21.199075274650955,450.0,410.0,-40.0,40.0,40.0
Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,Misleading_Narrative_Framing,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Defense_and_National_Security,-1,0.13864353420790035,profile_0344,Female,26.0,51.241,19.201,49.728,57.663,50.957,20.035318339811692,94.0,20.035318339811692,217.0,180.0,-37.0,37.0,37.0
Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,Misleading_Narrative_Framing,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Defense_and_National_Security,-1,0.13864353420790035,profile_0288,Female,37.0,12.632,27.063,54.288,91.998,19.238,19.454024562897988,93.0,19.454024562897988,450.0,480.0,30.0,30.0,-30.0
Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,Misleading_Narrative_Framing,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Defense_and_National_Security,-1,0.13864353420790035,profile_0399,Other,19.0,70.966,43.802,9.82,35.943,60.508,18.48499052728505,92.0,18.48499052728505,150.0,120.0,-30.0,30.0,30.0
Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,Misleading_Narrative_Framing,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Alliance_Commitment_Support,Defense_and_National_Security,-1,0.13864353420790035,profile_0369,Female,38.0,20.759,12.116,21.945,27.301,82.516,17.6988997116838,91.0,17.6988997116838,687.0,620.0,-67.0,67.0,67.0
