scenario_id,opinion_leaf,opinion_domain,opinion_leaf_label,attack_present,attack_leaf,baseline_score,post_score,delta_score,abs_delta_score,adversarial_effectivity,adversarial_direction,profile_id,exposure_intensity_hint,attack_realism_score,attack_coherence_score,attack_rewrite_required,attack_heuristic_pass,baseline_plausibility_score,baseline_consistency_score,baseline_rewrite_required,baseline_heuristic_pass,post_plausibility_score,post_consistency_score,post_rewrite_required,post_heuristic_pass,baseline_fallback_used,post_fallback_used,scenario_design,profile_panel_index,leaf_repeat_index_within_profile,profile_cont_age_years,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_heuristic_shift_sensitivity_proxy,profile_cont_resilience_index,profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other,baseline_abs_score,baseline_extremity_norm,exposure_quality_score,exposure_quality_z,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___civil_defense_preparedness_support,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___domestic_security_powers_expansion_support,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___strategic_autonomy_support,primary_moderator_value,primary_moderator_z
scenario_00001,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,217.0,180.0,-37.0,37.0,37.0,-1,profile_0003,0.65,0.7,0.8,False,True,0.0,0.0,True,True,0.7,0.8,False,True,False,False,profile_panel_repeated_attacked_leaves,1,1,20.0,12.344,6.905,24.863,11.916,49.433,20.944,21.068,86.844,90.056,93.719,91.405,95.637,78.609,89.378,52.05,50.891,54.202,69.196,56.425,49.741,55.417,51.045,75.017,67.394,68.177,59.242,63.194,64.012,55.923,58.731,32.053,42.683,51.172,61.531,50.349,0.5143,0.4857,0.0,1.0,0.0,217.0,0.217,0.7166666666666668,0.0270888408568109,0.0,0.0,0.0,20.0,-1.3754012612581452
scenario_00002,Issue_Position_Taxonomy > Defense_and_National_Security > Civil_Defense_Preparedness_Support,Defense_and_National_Security,Civil_Defense_Preparedness_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,217.0,270.0,53.0,53.0,-53.0,-1,profile_0003,0.62,0.7,0.8,False,True,0.8,0.7,False,True,0.7,0.6,False,True,False,False,profile_panel_repeated_attacked_leaves,1,2,20.0,12.344,6.905,24.863,11.916,49.433,20.944,21.068,86.844,90.056,93.719,91.405,95.637,78.609,89.378,52.05,50.891,54.202,69.196,56.425,49.741,55.417,51.045,75.017,67.394,68.177,59.242,63.194,64.012,55.923,58.731,32.053,42.683,51.172,61.531,50.349,0.5143,0.4857,0.0,1.0,0.0,217.0,0.217,0.7066666666666667,-0.2415608205330089,1.0,0.0,0.0,20.0,-1.3754012612581452
scenario_00003,Issue_Position_Taxonomy > Defense_and_National_Security > Domestic_Security_Powers_Expansion_Support,Defense_and_National_Security,Domestic_Security_Powers_Expansion_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,217.0,289.0,72.0,72.0,-72.0,-1,profile_0003,0.62,0.7,0.8,False,True,0.7,0.8,False,True,0.3,0.4,True,True,False,False,profile_panel_repeated_attacked_leaves,1,3,20.0,12.344,6.905,24.863,11.916,49.433,20.944,21.068,86.844,90.056,93.719,91.405,95.637,78.609,89.378,52.05,50.891,54.202,69.196,56.425,49.741,55.417,51.045,75.017,67.394,68.177,59.242,63.194,64.012,55.923,58.731,32.053,42.683,51.172,61.531,50.349,0.5143,0.4857,0.0,1.0,0.0,217.0,0.217,0.7066666666666667,-0.2415608205330089,0.0,1.0,0.0,20.0,-1.3754012612581452
scenario_00004,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,650.0,680.0,30.0,30.0,30.0,1,profile_0003,0.62,0.7,0.8,False,True,0.7,0.6,False,False,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,1,4,20.0,12.344,6.905,24.863,11.916,49.433,20.944,21.068,86.844,90.056,93.719,91.405,95.637,78.609,89.378,52.05,50.891,54.202,69.196,56.425,49.741,55.417,51.045,75.017,67.394,68.177,59.242,63.194,64.012,55.923,58.731,32.053,42.683,51.172,61.531,50.349,0.5143,0.4857,0.0,1.0,0.0,650.0,0.65,0.7066666666666667,-0.2415608205330089,0.0,0.0,1.0,20.0,-1.3754012612581452
scenario_00005,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,487.0,523.0,36.0,36.0,-36.0,-1,profile_0010,0.62,0.7,0.8,False,True,0.8,0.7,False,True,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,2,1,74.0,69.422,40.572,69.536,52.126,56.363,70.627,59.774,65.176,40.013,44.8,37.463,51.718,58.454,49.604,40.753,46.485,47.162,49.643,58.176,42.546,47.461,22.293,19.461,22.064,34.899,8.619,30.192,22.921,31.51,33.968,54.853,36.977,49.487,21.703,38.083,0.3061,0.6939,0.0,0.0,1.0,487.0,0.487,0.7066666666666667,-0.2415608205330089,0.0,0.0,0.0,74.0,2.0113597103761385
scenario_00006,Issue_Position_Taxonomy > Defense_and_National_Security > Civil_Defense_Preparedness_Support,Defense_and_National_Security,Civil_Defense_Preparedness_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,623.0,660.0,37.0,37.0,-37.0,-1,profile_0010,0.62,0.7,0.8,False,True,0.8,0.9,False,True,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,2,2,74.0,69.422,40.572,69.536,52.126,56.363,70.627,59.774,65.176,40.013,44.8,37.463,51.718,58.454,49.604,40.753,46.485,47.162,49.643,58.176,42.546,47.461,22.293,19.461,22.064,34.899,8.619,30.192,22.921,31.51,33.968,54.853,36.977,49.487,21.703,38.083,0.3061,0.6939,0.0,0.0,1.0,623.0,0.623,0.7066666666666667,-0.2415608205330089,1.0,0.0,0.0,74.0,2.0113597103761385
scenario_00007,Issue_Position_Taxonomy > Defense_and_National_Security > Domestic_Security_Powers_Expansion_Support,Defense_and_National_Security,Domestic_Security_Powers_Expansion_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,321.0,384.0,63.0,63.0,-63.0,-1,profile_0010,0.62,0.7,0.8,False,False,0.7,0.8,False,True,0.8,0.7,False,True,False,False,profile_panel_repeated_attacked_leaves,2,3,74.0,69.422,40.572,69.536,52.126,56.363,70.627,59.774,65.176,40.013,44.8,37.463,51.718,58.454,49.604,40.753,46.485,47.162,49.643,58.176,42.546,47.461,22.293,19.461,22.064,34.899,8.619,30.192,22.921,31.51,33.968,54.853,36.977,49.487,21.703,38.083,0.3061,0.6939,0.0,0.0,1.0,321.0,0.321,0.7066666666666667,-0.2415608205330089,0.0,1.0,0.0,74.0,2.0113597103761385
scenario_00008,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,321.0,374.0,53.0,53.0,53.0,1,profile_0010,0.62,0.8,0.9,False,True,0.7,0.6,True,True,0.8,0.7,False,True,False,False,profile_panel_repeated_attacked_leaves,2,4,74.0,69.422,40.572,69.536,52.126,56.363,70.627,59.774,65.176,40.013,44.8,37.463,51.718,58.454,49.604,40.753,46.485,47.162,49.643,58.176,42.546,47.461,22.293,19.461,22.064,34.899,8.619,30.192,22.921,31.51,33.968,54.853,36.977,49.487,21.703,38.083,0.3061,0.6939,0.0,0.0,1.0,321.0,0.321,0.7733333333333333,1.5494369220657689,0.0,0.0,1.0,74.0,2.0113597103761385
scenario_00009,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,137.0,110.0,-27.0,27.0,27.0,-1,profile_0017,0.62,0.7,0.8,False,True,0.7,0.6,False,True,0.7,0.8,False,True,False,False,profile_panel_repeated_attacked_leaves,3,1,26.0,33.78,13.685,16.541,9.038,8.282,0.69,13.669,30.409,9.972,20.462,9.306,33.539,15.817,19.917,16.711,32.113,17.78,20.791,19.815,26.586,22.299,43.189,47.465,40.9,44.057,44.701,52.604,45.486,36.52,42.459,47.377,47.851,30.622,28.303,38.855,0.601,0.399,0.0,0.0,1.0,137.0,0.137,0.7066666666666667,-0.2415608205330089,0.0,0.0,0.0,26.0,-0.9990944866321136
scenario_00010,Issue_Position_Taxonomy > Defense_and_National_Security > Civil_Defense_Preparedness_Support,Defense_and_National_Security,Civil_Defense_Preparedness_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,45.0,58.0,13.0,13.0,-13.0,-1,profile_0017,0.62,0.7,0.8,False,True,0.7,0.8,False,True,0.8,0.7,False,True,False,False,profile_panel_repeated_attacked_leaves,3,2,26.0,33.78,13.685,16.541,9.038,8.282,0.69,13.669,30.409,9.972,20.462,9.306,33.539,15.817,19.917,16.711,32.113,17.78,20.791,19.815,26.586,22.299,43.189,47.465,40.9,44.057,44.701,52.604,45.486,36.52,42.459,47.377,47.851,30.622,28.303,38.855,0.601,0.399,0.0,0.0,1.0,45.0,0.045,0.7066666666666667,-0.2415608205330089,1.0,0.0,0.0,26.0,-0.9990944866321136
