scenario_id,opinion_leaf,opinion_domain,opinion_leaf_label,attack_present,attack_leaf,baseline_score,post_score,delta_score,profile_id,exposure_intensity_hint,attack_realism_score,attack_coherence_score,attack_rewrite_required,attack_heuristic_pass,profile_cont_age_years,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_susceptibility_index,profile_cont_resilience_index,profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other,moderator_z,attack_x_moderator
scenario_0001,Issue_Position_Taxonomy > Immigration_and_Citizenship > Immigration_Level_Increase_Support,Immigration_and_Citizenship,Immigration_Level_Increase_Support,0,CONTROL_NONE,187.0,187.0,0.0,profile_0001,0.0,0.0,0.0,False,True,36.0,54.519,24.002,44.282,40.384,32.043,52.246,41.246,84.615,65.037,73.166,62.776,59.793,65.382,68.462,23.101,24.288,41.675,32.028,33.287,20.791,29.195,39.242,23.218,6.266,20.414,19.059,11.057,19.876,21.196,37.202,6.384,19.043,33.726,21.424,23.163,0.3551,0.6449,0.0,0.0,1.0,-0.9752119502607277,-0.0
scenario_0002,Issue_Position_Taxonomy > Immigration_and_Citizenship > Immigration_Level_Decrease_Support,Immigration_and_Citizenship,Immigration_Level_Decrease_Support,0,CONTROL_NONE,-123.0,-123.0,0.0,profile_0002,0.0,0.0,0.0,False,True,29.0,47.457,61.467,43.873,45.287,56.223,54.456,51.461,54.109,53.325,53.699,62.06,54.686,40.176,53.009,39.166,53.762,52.638,54.412,60.429,60.396,53.467,52.337,47.323,61.633,46.703,61.119,48.084,52.866,66.667,66.164,52.484,70.591,63.458,62.032,63.566,0.5193,0.4807,0.0,1.0,0.0,0.4668792081759759,0.0
scenario_0003,Issue_Position_Taxonomy > Immigration_and_Citizenship > Refugee_Acceptance_Support,Immigration_and_Citizenship,Refugee_Acceptance_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,487.0,520.0,33.0,profile_0003,0.75,0.8,0.9,False,True,38.0,23.606,39.584,43.557,56.564,49.073,42.385,42.461,62.298,53.489,47.364,54.514,72.511,66.618,59.466,93.684,53.492,70.465,66.961,65.034,67.968,69.601,37.109,29.61,50.997,26.22,35.509,25.941,34.231,46.937,29.009,35.398,23.479,29.086,43.881,34.632,0.4257,0.5743,0.0,0.0,1.0,-0.355165447303168,-0.355165447303168
scenario_0004,Issue_Position_Taxonomy > Immigration_and_Citizenship > Asylum_Process_Expansion_Support,Immigration_and_Citizenship,Asylum_Process_Expansion_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,450.0,400.0,-50.0,profile_0004,0.62,0.8,0.9,False,True,43.0,93.165,88.163,77.587,84.242,83.491,75.39,83.673,5.577,16.415,11.102,3.227,5.655,21.094,10.512,36.108,38.12,27.758,32.891,26.743,30.637,32.043,46.02,43.957,39.72,48.059,44.995,42.393,44.191,60.426,66.04,51.319,51.789,61.439,58.995,58.335,0.5567,0.4433,0.0,1.0,0.0,0.7953457692328133,0.7953457692328133
scenario_0005,Issue_Position_Taxonomy > Immigration_and_Citizenship > Border_Enforcement_Expansion_Support,Immigration_and_Citizenship,Border_Enforcement_Expansion_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,-217.0,-189.0,28.0,profile_0005,0.62,0.8,0.9,False,True,21.0,54.605,48.829,49.016,31.626,44.499,36.836,44.235,75.638,81.85,72.145,89.421,69.651,79.065,77.962,45.148,39.403,35.42,24.05,37.52,27.128,34.778,100.0,100.0,89.04,100.0,79.753,92.184,93.496,16.035,4.641,6.673,14.519,2.074,16.436,10.063,0.7133,0.2867,1.0,0.0,0.0,2.17068971205369,2.17068971205369
scenario_0006,Issue_Position_Taxonomy > Immigration_and_Citizenship > Pathway_to_Citizenship_Support,Immigration_and_Citizenship,Pathway_to_Citizenship_Support,0,CONTROL_NONE,687.0,687.0,0.0,profile_0006,0.0,0.0,0.0,False,True,47.0,43.397,17.912,27.626,32.931,32.729,22.346,29.49,63.579,53.187,55.964,61.195,61.84,51.276,57.84,37.94,52.27,36.284,65.4,41.921,42.66,46.079,35.658,44.965,25.023,30.956,49.043,31.574,36.203,83.69,87.043,71.319,74.775,71.926,70.083,76.473,0.3743,0.6257,0.0,0.0,1.0,-0.8065874055470571,-0.0
scenario_0007,Issue_Position_Taxonomy > Immigration_and_Citizenship > Temporary_Work_Visas_Expansion_Support,Immigration_and_Citizenship,Temporary_Work_Visas_Expansion_Support,0,CONTROL_NONE,687.0,687.0,0.0,profile_0007,0.0,0.0,0.0,False,True,47.0,75.904,84.865,82.631,87.957,82.816,81.872,82.674,69.402,46.26,52.49,52.865,52.618,55.922,54.926,39.47,52.58,59.085,49.609,45.365,46.373,48.747,20.413,10.999,23.131,14.75,10.653,12.451,15.399,43.61,41.36,44.094,50.187,45.431,32.824,42.918,0.3216,0.6784,0.0,0.0,1.0,-1.269426650672601,-0.0
scenario_0008,Issue_Position_Taxonomy > Immigration_and_Citizenship > Family_Reunification_Support,Immigration_and_Citizenship,Family_Reunification_Support,0,CONTROL_NONE,687.0,687.0,0.0,profile_0008,0.0,0.0,0.0,False,True,44.0,37.993,57.019,53.137,54.199,33.398,61.631,49.563,34.405,14.693,20.752,16.543,50.332,28.29,27.503,64.815,75.272,70.548,74.319,77.004,77.881,73.307,43.78,31.86,20.2,32.238,27.032,42.662,32.962,93.208,86.008,95.291,82.167,75.75,71.664,84.015,0.4356,0.5644,0.0,0.0,1.0,-0.26821841643518196,-0.0
scenario_0009,Issue_Position_Taxonomy > Immigration_and_Citizenship > Birthright_Citizenship_Support,Immigration_and_Citizenship,Birthright_Citizenship_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,450.0,380.0,-70.0,profile_0009,0.62,0.8,0.9,False,True,46.0,74.64,76.779,63.507,73.398,62.993,74.371,70.948,54.174,39.404,54.051,55.32,43.449,40.777,47.863,23.239,28.801,17.156,7.731,14.564,14.605,17.683,17.533,10.652,34.292,37.009,25.962,35.082,26.755,31.633,50.31,32.053,37.693,35.239,30.345,36.212,0.3995,0.6005,1.0,0.0,0.0,-0.5852676906103644,-0.5852676906103644
scenario_0010,Issue_Position_Taxonomy > Immigration_and_Citizenship > Multiculturalism_Support,Immigration_and_Citizenship,Multiculturalism_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,187.0,120.0,-67.0,profile_0010,0.75,0.8,0.7,False,True,61.0,71.214,70.955,59.258,75.206,64.405,64.347,67.564,21.513,21.782,13.22,27.416,31.054,10.349,20.889,66.104,65.354,81.406,75.757,78.709,69.869,72.867,61.179,61.856,42.992,65.633,59.138,52.085,57.147,24.654,56.629,53.443,33.248,40.528,44.499,42.167,0.5603,0.4397,0.0,1.0,0.0,0.8269628713666269,0.8269628713666269
