scenario_id,opinion_leaf,opinion_domain,opinion_leaf_label,attack_present,attack_leaf,baseline_score,post_score,delta_score,profile_id,exposure_intensity_hint,attack_realism_score,attack_coherence_score,attack_rewrite_required,attack_heuristic_pass,baseline_plausibility_score,baseline_consistency_score,baseline_rewrite_required,baseline_heuristic_pass,post_plausibility_score,post_consistency_score,post_rewrite_required,post_heuristic_pass,baseline_fallback_used,post_fallback_used,profile_cont_age_years,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_susceptibility_index,profile_cont_resilience_index,profile_cat_sex
scenario_0001,Issue_Position_Taxonomy > Immigration_and_Citizenship > Assimilationism_Support,Immigration_and_Citizenship,Assimilationism_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,623.0,660.0,37.0,profile_candidate_0112,0.62,0.8,0.9,False,False,0.8,0.9,False,True,0.8,0.9,False,True,False,False,59.0,85.732,87.528,86.781,82.378,93.552,97.908,88.98,74.756,81.281,76.944,96.121,81.912,87.206,83.037,56.913,49.017,50.388,39.983,52.351,44.902,48.926,12.512,19.027,0.0,4.749,3.759,8.376,8.07,82.227,64.435,67.605,65.851,65.607,59.683,67.568,0.1637,0.8363,Female
scenario_0002,Issue_Position_Taxonomy > Immigration_and_Citizenship > Border_Enforcement_Expansion_Support,Immigration_and_Citizenship,Border_Enforcement_Expansion_Support,0,CONTROL_NONE,42.0,45.0,3.0,profile_candidate_0129,0.0,0.0,0.0,False,True,0.8,0.8,False,True,0.8,0.9,False,True,False,False,51.0,74.038,63.064,64.277,70.292,70.684,68.046,68.4,56.959,54.413,50.077,48.978,64.199,60.757,55.897,42.077,35.159,42.344,46.844,47.826,43.289,42.923,14.286,11.211,18.938,2.117,30.895,14.668,15.352,91.081,100.0,91.179,87.504,71.57,70.218,85.258,0.2666,0.7334,Other
scenario_0003,Issue_Position_Taxonomy > Immigration_and_Citizenship > Detention_of_Irregular_Migrants_Acceptance,Immigration_and_Citizenship,Detention_of_Irregular_Migrants_Acceptance,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,150.0,210.0,60.0,profile_candidate_0011,0.62,0.8,0.9,False,True,0.7,0.6,False,False,0.8,0.9,False,True,False,False,66.0,53.753,62.524,53.234,72.923,36.84,52.44,55.286,94.434,91.475,90.885,88.593,76.956,84.942,87.881,86.285,91.963,88.628,73.343,77.583,98.97,86.129,40.11,24.668,37.233,53.461,24.381,43.983,37.306,33.274,38.319,41.127,54.779,45.558,49.278,43.722,0.2895,0.7105,Other
scenario_0004,Issue_Position_Taxonomy > Immigration_and_Citizenship > Immigration_Level_Increase_Support,Immigration_and_Citizenship,Immigration_Level_Increase_Support,0,CONTROL_NONE,320.0,325.0,5.0,profile_candidate_0084,0.0,0.0,0.0,False,True,0.8,0.8,False,True,0.9,0.9,False,True,False,False,25.0,23.873,23.277,16.862,23.051,24.298,15.153,21.085,81.835,60.178,92.479,79.362,66.162,53.499,72.253,16.469,24.208,26.456,18.184,18.474,27.682,21.912,14.979,14.378,13.186,22.658,18.673,11.562,15.906,88.339,61.192,60.978,81.792,71.855,75.16,73.219,0.3052,0.6948,Other
scenario_0005,Issue_Position_Taxonomy > Immigration_and_Citizenship > Multiculturalism_Support,Immigration_and_Citizenship,Multiculturalism_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,387.0,423.0,36.0,profile_candidate_0034,0.62,0.8,0.9,False,True,0.8,0.8,False,True,0.8,0.9,False,True,False,False,41.0,19.714,21.384,31.181,32.463,18.385,18.755,23.647,59.868,52.47,55.988,65.694,63.307,68.037,60.894,76.599,83.73,80.02,61.196,81.575,70.788,75.651,22.726,25.28,6.466,8.363,22.845,23.09,18.128,65.206,73.781,72.11,69.26,49.919,78.174,68.075,0.3088,0.6912,Other
scenario_0006,Issue_Position_Taxonomy > Immigration_and_Citizenship > Temporary_Work_Visas_Expansion_Support,Immigration_and_Citizenship,Temporary_Work_Visas_Expansion_Support,0,CONTROL_NONE,687.0,692.0,5.0,profile_candidate_0178,0.0,0.0,0.0,False,True,0.8,0.8,False,True,0.9,0.9,False,True,False,False,38.0,75.085,74.844,73.363,80.105,73.145,75.683,75.371,83.109,90.269,78.824,73.092,79.807,82.348,81.241,28.503,22.758,34.155,48.005,33.766,44.68,35.311,45.106,35.114,44.821,25.598,24.746,33.194,34.763,77.593,90.299,80.741,100.0,69.2,86.089,83.987,0.3243,0.6757,Other
scenario_0007,Issue_Position_Taxonomy > Immigration_and_Citizenship > Assimilationism_Support,Immigration_and_Citizenship,Assimilationism_Support,0,CONTROL_NONE,217.0,223.0,6.0,profile_candidate_0007,0.0,0.0,0.0,False,True,0.8,0.7,False,True,0.9,0.9,False,True,False,False,24.0,44.765,49.696,48.227,53.428,51.237,58.982,51.056,88.776,84.036,90.187,85.79,79.809,75.436,84.006,8.12,2.323,0.0,16.698,14.935,12.668,9.124,25.99,15.904,32.013,21.9,29.229,33.948,26.497,64.906,57.276,58.885,61.299,53.574,58.928,59.145,0.3401,0.6599,Male
scenario_0008,Issue_Position_Taxonomy > Immigration_and_Citizenship > Border_Enforcement_Expansion_Support,Immigration_and_Citizenship,Border_Enforcement_Expansion_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,42.0,68.0,26.0,profile_candidate_0057,0.62,0.8,0.9,False,True,0.8,0.8,False,True,0.8,0.9,False,True,False,False,41.0,16.311,14.674,3.783,9.48,0.0,9.21,8.91,73.366,83.841,78.588,68.174,67.645,66.281,72.983,11.267,22.919,28.764,25.905,9.454,20.857,19.861,39.872,37.402,30.129,35.227,37.259,29.832,34.953,54.838,59.576,66.208,56.457,53.526,73.655,60.71,0.3616,0.6384,Female
scenario_0009,Issue_Position_Taxonomy > Immigration_and_Citizenship > Detention_of_Irregular_Migrants_Acceptance,Immigration_and_Citizenship,Detention_of_Irregular_Migrants_Acceptance,0,CONTROL_NONE,215.0,223.0,8.0,profile_candidate_0187,0.0,0.0,0.0,False,True,0.8,0.7,False,True,0.9,0.9,False,True,False,False,59.0,66.257,68.257,51.743,56.115,67.203,66.361,62.656,43.132,31.204,30.109,33.872,36.416,32.837,34.595,48.432,56.046,52.8,58.906,59.486,53.671,54.89,21.617,19.789,22.327,37.484,22.604,26.973,25.132,56.283,40.011,55.072,56.578,49.245,58.959,52.691,0.3764,0.6236,Female
scenario_0010,Issue_Position_Taxonomy > Immigration_and_Citizenship > Immigration_Level_Increase_Support,Immigration_and_Citizenship,Immigration_Level_Increase_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,217.0,289.0,72.0,profile_candidate_0029,0.62,0.8,0.9,False,True,0.8,0.7,False,True,0.8,0.7,False,True,False,False,18.0,87.204,78.3,98.368,93.588,79.355,100.0,89.469,60.37,74.47,61.77,63.987,53.452,57.042,61.849,77.015,53.078,56.53,61.917,57.544,50.117,59.367,23.595,26.463,14.924,24.532,21.214,10.269,20.166,60.389,64.058,58.798,59.963,72.208,61.431,62.808,0.3783,0.6217,Other
